strain,type,rating,effects,flavor
100-Og,hybrid,4.0,"Creative,Energetic,Tingly,Euphoric,Relaxed","Citrus,Sweet,Earthy"
1024,sativa,4.4,"Uplifted,Happy,Relaxed,Energetic,Creative","Spicy,Herbal, Sage, Woody"
13-Dawgs,hybrid,4.2,"Tingly,Creative,Hungry,Relaxed,Uplifted","Grapefruit,Citrus,Apricot"
24K-Gold,hybrid,4.6,"Happy,Relaxed,Euphoric,Uplifted,Talkative","Citrus,Orange,Earthy"
3-Bears-Og,indica,4.5,"Relaxed, Euphoric"," Earthy,Sweet, Pungent"
3-Kings,hybrid,4.4,"Relaxed,Euphoric,Happy,Uplifted,Hungry","Pungent,Sweet,Earthy"
303-Og,indica,4.2,"Relaxed,Happy,Euphoric,Uplifted,Giggly","Pungent,Citrus,Earthy"
3D-Cbd,sativa,4.6,"Uplifted,Focused,Happy,Talkative,Relaxed","Flowery,Woody,Earthy"
3Rd-Coast-Panama-Chunk,hybrid,4.7,"Energetic,Happy,Talkative,Uplifted","Diesel,Pine"
3X-Crazy,indica,4.4,"Relaxed,Tingly,Happy,Euphoric,Uplifted","Sweet,Grape,Earthy"
501St-Og,hybrid,4.5,"Relaxed,Euphoric,Sleepy,Happy,Talkative","Skunk,Pine,Earthy"
5Th-Element,indica,4.4,"Relaxed,Focused,Euphoric,Uplifted,Aroused","Woody,Pine,Earthy"
707-Headband,hybrid,4.3,"Euphoric,Happy,Uplifted,Talkative,Creative","Pungent,Woody,Earthy"
8-Ball-Kush,indica,4.3,"Relaxed,Uplifted,Happy,Creative,Euphoric","Citrus,Pine,Earthy"
818-Og,indica,4.7,"Relaxed,Happy,Euphoric,Giggly,Sleepy","Diesel,Flowery,Earthy"
831-Og,indica,5.0,"Relaxed, Hungry, Creative","Spicy, Pepper, Citrus"
9-Pound-Hammer,indica,4.5,"Relaxed,Sleepy,Euphoric,Happy,Hungry","Berry,Sweet,Earthy"
91-Krypt,indica,4.7,"Relaxed,Euphoric,Happy,Hungry,Uplifted","Pungent,Berry,Earthy"
98-White-Widow,hybrid,4.7,"Relaxed,Aroused,Creative,Happy,Energetic","Violet,Flowery,Diesel"
A-10,indica,3.8,"Relaxed,Focused,Happy,Sleepy,Uplifted","Pungent,Citrus,Sweet"
A-Dub,hybrid,4.4,"Relaxed,Happy,Euphoric,Uplifted,Sleepy","Diesel,Pepper,Earthy"
A-Train,hybrid,4.1,"Creative,Euphoric,Relaxed,Happy,Hungry","Citrus,Woody,Earthy"
Aberdeen,hybrid,4.3,"Uplifted,Euphoric,Giggly,Energetic,Sleepy","Menthol,Blueberry,Cheese,Chemical"
Abusive-Og,indica,4.5,"Relaxed,Euphoric,Sleepy,Happy,Giggly","Diesel,Pine,Earthy"
Acapulco-Gold,sativa,4.5,"Happy,Uplifted,Euphoric,Energetic,Relaxed","Pungent,Sweet,Earthy"
Acdc,hybrid,4.5,"Relaxed,Happy,Uplifted,Focused,Euphoric","Woody,Pine,Earthy"
Ace-Killer-Og,indica,4.8,"Relaxed,Sleepy,Euphoric,Happy,Uplifted","Earthy, Diesel, Spicy,Herbal"
Ace-Of-Spades,indica,4.1,"Relaxed,Euphoric,Happy,Sleepy,Hungry","Woody,Sweet,Earthy"
Aceh,sativa,4.4,"Creative,Euphoric,Talkative,Energetic,Happy","Lemon,Mango,Earthy"
Acid,hybrid,4.4,"Creative,Happy,Euphoric,Energetic,Uplifted","Diesel,Lemon,Earthy"
Acid-Dough,sativa,5.0,"Talkative,Giggly,Happy,Hungry,Relaxed"," Earthy,Sweet, Tropical"
Afcrack,hybrid,3.4,"Tingly,Euphoric,Happy,Relaxed,Uplifted","Flowery,Sweet,Earthy"
Afgahni-Bullrider,indica,4.4,"Focused,Uplifted,Happy,Creative,Relaxed","Citrus,Lemon,Sweet"
Afghan-Big-Bud,indica,4.0,"Euphoric,Happy,Relaxed,Sleepy,Talkative","Pungent,Peach,Lemon"
Afghan-Cow,sativa,4.3,"Focused,Uplifted,Happy,Euphoric,Talkative","Sweet,Vanilla"
Afghan-Diesel,hybrid,3.7,"Euphoric,Relaxed,Uplifted,Happy,Creative","Chemical,Diesel,Earthy"
Afghan-Hawaiian,indica,4.1,"Tingly,Sleepy,Relaxed,Energetic,Aroused","Nutty,Chestnut,Earthy"
Afghan-Haze,hybrid,4.3,"Sleepy,Relaxed,Giggly,Happy,Creative","Flowery,Tea,Earthy"
Afghan-Kush,indica,4.1,"Relaxed,Sleepy,Happy,Hungry,Euphoric","Flowery,Woody,Earthy"
Afghan-Skunk,indica,4.3,"Sleepy,Relaxed,Happy,Hungry,Giggly","Woody,Sweet,Skunk"
Afghan-Sour-Kush,indica,4.5,"Hungry,Relaxed,Aroused,Sleepy,Euphoric","Pungent,Diesel,Earthy"
Afghan-Widow,hybrid,4.5,"Creative,Energetic,Euphoric,Focused,Uplifted","Flowery,Diesel,Sweet"
Afghani,indica,4.3,"Relaxed,Sleepy,Happy,Euphoric,Hungry","Sweet,Pine,Earthy"
Afghani-Cbd,indica,4.6,"Relaxed,Happy,Sleepy,Tingly,Creative","Flowery, Chemical, Spicy,Herbal"
Afghanica,hybrid,4.1,"Relaxed,Sleepy,Happy,Hungry,Euphoric","Flowery,Sweet,Skunk"
Afghanimal,indica,5.0,"Hungry,Relaxed,Aroused,Sleepy,Focused","Citrus,Skunk"
Afghooey,indica,4.1,"Uplifted,Euphoric,Relaxed,Talkative,Creative","Woody,Sweet,Earthy"
Afgoo,indica,4.1,"Relaxed,Sleepy,Happy,Euphoric,Hungry","Woody,Sweet,Pine"
Afgooey,indica,4.3,"Relaxed,Happy,Sleepy,Giggly,Uplifted","Pungent,Woody,Pine"
Afkansastan,indica,3.8,"Uplifted,Euphoric,Giggly,Happy,Relaxed","Tobacco,Earthy"
Afpak,hybrid,4.2,"Relaxed,Creative,Focused,Sleepy,Happy","Pine, Spicy,Herbal, Earthy"
African,sativa,3.9,"Euphoric,Energetic,Aroused,Tingly,Creative","Spicy,Herbal, Pungent, Pepper"
Afrikaner,sativa,4.4,"Euphoric, Sleepy"," Earthy, Spicy,Sweet"
Afternoon-Delight,hybrid,4.8,"Talkative,Relaxed,Uplifted,Tingly,Creative","Pungent,Citrus,Tropical"
Afwreck,hybrid,4.2,"Euphoric,Happy,Uplifted,Relaxed,Sleepy","Pungent,Pine,Earthy"
Agent-Orange,hybrid,4.2,"Happy,Uplifted,Relaxed,Energetic,Euphoric","Citrus,Orange,Earthy"
Agent-Tangie,hybrid,4.5,"Uplifted,Happy,Creative,Euphoric,Focused","Citrus,Orange,Skunk"
Air-Jordan-Og,indica,4.5,"Happy,Relaxed,Euphoric,Sleepy,Tingly","Diesel, Pine, Spicy,Herbal"
Ak-47,hybrid,4.2,"Happy,Relaxed,Uplifted,Euphoric,Energetic","Pungent,Woody,Earthy"
Ak-48,hybrid,4.0,"Happy,Energetic,Uplifted,Creative,Relaxed","Pungent,Citrus,Earthy"
Alaska,sativa,4.6,"Relaxed,Sleepy,Euphoric,Focused,Happy","Woody,Pine,Earthy"
Alaska-Thunder-Grape,hybrid,5.0,"Tingly,Uplifted,Creative,Euphoric,Focused","Strawberry,Pepper,Grape"
Alaskan-Ice,sativa,4.4,"Euphoric,Uplifted,Happy,Relaxed,Energetic","Sweet, Earthy, Spicy,Herbal"
Alaskan-Thunder-Fuck,sativa,4.4,"Happy,Euphoric,Relaxed,Uplifted,Energetic","Woody,Pine,Earthy"
Albert-Walker,hybrid,4.7,"Relaxed,Euphoric,Happy,Uplifted,Hungry","Blueberry,Mango,Earthy"
Alchemy,hybrid,4.8,"Relaxed,Sleepy,Uplifted,Hungry,Tingly","Cheese, Sweet, Spicy,Herbal"
Alf,hybrid,5.0,"Relaxed,Creative,Euphoric,Giggly,Happy","Pungent,Diesel,Tropical"
Alice-In-Wonderland,sativa,4.5,"Focused,Euphoric,Happy,Uplifted,Relaxed","Pine,Minty,Sweet"
Alien-Abduction,hybrid,3.8,"Happy,Relaxed,Focused,Uplifted,Creative","Nutty,Sweet,Earthy"
Alien-Apparition,hybrid,4.0,"Hungry,Energetic,Euphoric,Aroused,Tingly","Pungent,Sweet,Skunk"
Alien-Asshat,hybrid,4.8,"Euphoric,Creative,Giggly,Relaxed,Happy","Pungent,Citrus,Earthy"
Alien-Bubba,indica,5.0,"Relaxed,Sleepy,Euphoric,Happy,Uplifted","Woody,Sweet,Earthy"
Alien-Dawg,indica,4.3,"Relaxed,Sleepy,Happy,Euphoric,Uplifted","Pungent,Woody,Earthy"
Alien-Dutchess,sativa,4.2,"Euphoric,Relaxed,Uplifted,Focused,Happy","Blueberry,Berry,Sweet"
Alien-Hallucination,hybrid,4.1,"Happy,Relaxed,Giggly,Aroused,Hungry","Diesel,Sweet,Earthy"
Alien-Inferno,hybrid,4.8,"Happy,Talkative,Euphoric,Uplifted,Energetic","Diesel,Pine,Earthy"
Alien-Kush,indica,4.2,"Relaxed,Euphoric,Happy,Tingly,Uplifted","Flowery,Woody,Earthy"
Alien-Og,hybrid,4.5,"Relaxed,Happy,Euphoric,Uplifted,Creative","Citrus,Lemon,Earthy"
Alien-Reunion,hybrid,4.9,"Euphoric,Uplifted,Happy,Relaxed,Talkative","Pungent,Cheese,Skunk"
Alien-Rift,indica,4.6,"Relaxed,Happy,Euphoric,Uplifted,Hungry","Chemical,Grape,Earthy"
Alien-Rock-Candy,hybrid,4.7,"Relaxed,Happy,Euphoric,Sleepy,Tingly","Citrus,Sweet,Earthy"
Alien-Sour-Apple,hybrid,4.6,"Euphoric,Relaxed,Uplifted,Creative,Happy","Apple,Lemon,Sweet"
Alien-Stardawg,sativa,4.4,"Uplifted,Happy,Euphoric,Creative,Tingly","Diesel, Spicy,Herbal, Sage"
Alien-Technology,indica,4.5,"Happy,Relaxed,Uplifted,Euphoric,Focused","Earthy, Spicy,Herbal, Woody"
Aliens-On-Moonshine,indica,4.5,"Relaxed,Happy,Talkative,Uplifted,Giggly","Sage,Grapefruit,Citrus"
Allen-Iverson-Og,indica,5.0,"Uplifted,Euphoric,Happy,Relaxed"," Earthy,Sweet, Pungent"
Allen-Wrench,sativa,4.3,"Happy,Uplifted,Focused,Energetic,Hungry","Pungent,Citrus,Earthy"
Allkush,indica,5.0,"Relaxed,Sleepy,Uplifted,Happy","Spicy,Herbal, Honey, Earthy"
Aloha,sativa,4.2,"Energetic,Uplifted,Happy,Creative,Focused","Citrus,Sweet,Tropical"
Aloha-Grape-Stomper,hybrid,5.0,"Tingly,Uplifted,Euphoric,Giggly,Happy","Blueberry,Grape,Tropical"
Aloha-Limone,hybrid,4.8,"Euphoric,Creative,Energetic,Talkative,Uplifted","Citrus,Sweet,Earthy"
Alohaberry,hybrid,4.2,"Energetic,Uplifted,Aroused,Tingly,Relaxed","Berry,Apple,Chestnut"
Alpha-Blue,sativa,4.5,"Energetic,Happy,Euphoric,Relaxed,Talkative","Blueberry,Sweet,Earthy"
Alpha-Cow,sativa,5.0,Relaxed," Earthy,Sweet, Berry"
